Date,Time,Time (s),Soil Moisture (%)
2025-03-11,22:42:08,2.003887891769409,42.91300097751711
2025-03-11,22:42:10,3.1771161556243896,42.91300097751711
2025-03-11,22:42:11,4.2497429847717285,22.776148582600193
2025-03-11,22:42:14,5.349597454071045,19.745845552297165
2025-03-11,22:42:15,8.47566843032837,19.64809384164223
2025-03-11,22:42:16,9.561778545379639,19.745845552297165
2025-03-11,22:42:17,11.107883930206299,19.64809384164223
2025-03-11,22:42:19,12.180817127227783,19.64809384164223
2025-03-11,22:42:20,13.266939401626587,19.550342130987293
2025-03-11,22:42:21,14.347861051559448,19.550342130987293
2025-03-11,22:42:22,15.423534393310547,19.257086999022484
2025-03-11,22:42:23,16.513602256774902,19.257086999022484
2025-03-11,22:42:24,17.595703601837158,19.257086999022484
2025-03-11,22:42:25,18.66753602027893,19.257086999022484
2025-03-11,22:42:26,19.748518705368042,19.257086999022484
2025-03-11,22:42:27,20.822734832763672,19.257086999022484
2025-03-11,22:42:28,21.914347410202026,19.257086999022484
2025-03-11,22:42:29,23.01249861717224,19.257086999022484
2025-03-11,22:42:30,24.101470947265625,19.159335288367547
2025-03-11,22:42:32,25.16984748840332,19.159335288367547
2025-03-11,22:42:33,26.25300884246826,19.159335288367547
2025-03-11,22:42:34,27.320890188217163,19.159335288367547
2025-03-11,22:42:35,28.39584732055664,44.770283479960895
2025-03-11,22:42:36,29.50515079498291,44.67253176930596
2025-03-11,22:42:37,30.627158164978027,44.67253176930596
2025-03-11,22:42:38,31.70703935623169,44.57478005865102
2025-03-11,22:42:39,32.816829442977905,44.67253176930596
2025-03-11,22:42:40,33.9180166721344,44.67253176930596
2025-03-11,22:42:41,34.99026608467102,44.67253176930596
2025-03-11,22:42:42,36.08169913291931,44.67253176930596
2025-03-11,22:42:44,37.18301177024841,44.67253176930596
2025-03-11,22:42:45,38.25778269767761,44.57478005865102
2025-03-11,22:42:46,39.33739924430847,44.67253176930596
2025-03-11,22:42:47,40.4553747177124,44.57478005865102
2025-03-11,22:42:48,41.5431010723114,44.57478005865102
2025-03-11,22:42:49,42.63868761062622,44.67253176930596
2025-03-11,22:42:50,43.72529673576355,44.57478005865102
2025-03-11,22:42:51,44.79602551460266,44.57478005865102
2025-03-11,22:42:52,45.86896061897278,44.57478005865102
2025-03-11,22:42:53,46.96622180938721,44.57478005865102
2025-03-11,22:42:54,48.05426073074341,44.57478005865102
2025-03-11,22:42:56,49.13330125808716,44.57478005865102
2025-03-11,22:42:57,50.211708307266235,44.57478005865102
2025-03-11,22:42:58,51.2778205871582,44.57478005865102
2025-03-11,22:42:59,52.355900049209595,44.57478005865102
2025-03-11,22:43:00,53.443159103393555,44.57478005865102
2025-03-11,22:43:01,54.53401303291321,44.57478005865102
2025-03-11,22:43:02,55.6207218170166,44.57478005865102
2025-03-11,22:43:03,56.72719383239746,44.57478005865102
2025-03-11,22:43:04,57.82403874397278,44.57478005865102
2025-03-11,22:43:05,58.89480781555176,44.57478005865102
2025-03-11,22:43:06,59.958242654800415,44.47702834799609
2025-03-11,22:43:07,61.02974891662598,44.47702834799609
2025-03-11,22:43:08,62.114293336868286,44.57478005865102
2025-03-11,22:43:10,63.18322515487671,44.47702834799609
2025-03-11,22:43:11,64.26062750816345,44.47702834799609
2025-03-11,22:43:12,65.34516596794128,44.47702834799609
2025-03-11,22:43:13,66.41742706298828,44.57478005865102
2025-03-11,22:43:14,67.48804569244385,44.47702834799609
2025-03-11,22:43:15,68.55914497375488,44.47702834799609
2025-03-11,22:43:16,69.65458989143372,44.47702834799609
2025-03-11,22:43:17,70.72981595993042,44.47702834799609
2025-03-11,22:43:18,71.801997423172,44.47702834799609
2025-03-11,22:43:19,72.89602041244507,44.47702834799609
2025-03-11,22:43:20,73.99012017250061,44.47702834799609
2025-03-11,22:43:21,75.09280824661255,44.47702834799609
2025-03-11,22:43:23,76.18821287155151,44.47702834799609
2025-03-11,22:43:24,77.28069734573364,44.47702834799609
2025-03-11,22:43:25,78.37255382537842,44.47702834799609
2025-03-11,22:43:26,79.44669222831726,44.47702834799609
2025-03-11,22:43:27,80.51975297927856,44.47702834799609
2025-03-11,22:43:28,81.61337089538574,44.47702834799609
2025-03-11,22:43:29,82.68876552581787,44.37927663734115
2025-03-11,22:43:30,83.81055688858032,44.47702834799609
2025-03-11,22:43:31,84.91574597358704,44.47702834799609
2025-03-11,22:43:32,85.98802137374878,44.47702834799609
2025-03-11,22:43:33,87.05217838287354,44.47702834799609
2025-03-11,22:43:34,88.11157655715942,44.47702834799609
2025-03-11,22:43:36,89.17029547691345,44.37927663734115
2025-03-11,22:43:37,90.25435447692871,44.47702834799609
2025-03-11,22:43:38,91.32957434654236,44.47702834799609
2025-03-11,22:43:39,92.39221549034119,44.37927663734115
2025-03-11,22:43:40,93.44584202766418,44.47702834799609
2025-03-11,22:43:41,94.50224113464355,44.47702834799609
2025-03-11,22:43:42,95.56625509262085,44.47702834799609
2025-03-11,22:43:43,96.641432762146,44.47702834799609
2025-03-11,22:43:44,97.70113110542297,44.37927663734115
2025-03-11,22:43:45,98.77970361709595,44.37927663734115
2025-03-11,22:43:46,99.8401391506195,44.37927663734115
2025-03-11,22:43:47,100.90513396263123,44.37927663734115
2025-03-11,22:43:48,101.97151708602905,44.37927663734115
2025-03-11,22:43:49,103.0467517375946,44.37927663734115
2025-03-11,22:43:50,104.11319279670715,44.47702834799609
2025-03-11,22:43:52,105.17806792259216,44.47702834799609
